name,latitude,longitude
Argentine,48.875278,2.29
Bastille,48.853082,2.369077
Bérault,48.845278,2.428333
Champs-Élysées-Clemenceau,48.8675,2.3135
Charles de Gaulle-Étoile,48.873889,2.295
Château de Vincennes,48.844444,2.44
Châtelet,48.858352,2.347324
Concorde,48.86541,2.32111
Esplanade de La Défense,48.888333,2.25
Franklin D. Roosevelt,48.868977,2.30989
Gare de Lyon,48.844722,2.373889
George V,48.871944,2.300556
Hôtel de Ville,48.857487,2.351525
La Défense,48.891852,2.238539
Les Sablons,48.880833,2.272222
Louvre-Rivoli,48.86108,2.340283
Nation,48.848333,2.395833
Palais Royal-Musée du Louvre,48.862644,2.336578
Pont de Neuilly,48.885,2.259722
Porte de Vincennes,48.847326,2.407759
Porte Maillot,48.878056,2.281944
Reuilly-Diderot,48.846944,2.386389
Saint-Mandé,48.846111,2.418889
Saint-Paul,48.855214,2.360859
Tuileries,48.864531,2.329617
Alexandre Dumas,48.855907,2.39479
Anvers,48.883007,2.344849
Avron,48.85194,2.397863
Barbès-Rochechouart,48.883611,2.350556
Belleville,48.872083,2.376947
Blanche,48.883459,2.333703
Colonel Fabien,48.877136,2.37116
Courcelles,48.879167,2.304167
Couronnes,48.869521,2.379861
Jaurès,48.88292,2.37067
La Chapelle,48.884411,2.360288
Ménilmontant,48.866248,2.383618
Monceau,48.88,2.308333
Père Lachaise,48.862921,2.387388
Philippe Auguste,48.858021,2.390938
Pigalle,48.882255,2.337573
Place de Clichy,48.883889,2.3275
Porte Dauphine,48.87139,2.27667
Rome,48.882425,2.322052
Stalingrad,48.88429,2.36586
Ternes,48.877778,2.298611
Victor Hugo,48.86972,2.285
Villiers,48.88113,2.314867
Anatole France,48.892022,2.285536
Arts et Métiers,48.8655,2.3561
Bourse,48.868738,2.34137
Europe,48.878821,2.32238
Gallieni,48.8635,2.41578
Gambetta,48.864947,2.398451
Havre-Caumartin,48.873465,2.327968
Louise Michel,48.889273,2.288073
Malesherbes,48.882476,2.311002
Opéra,48.870636,2.332353
Parmentier,48.865299,2.374381
Pereire,48.884648,2.299211
Pont de Levallois-Bécon,48.897313,2.280787
Porte de Bagnolet,48.864565,2.407278
Porte de Champerret,48.885851,2.293487
Quatre-Septembre,48.869574,2.336633
Réaumur-Sébastopol,48.866111,2.3525
République,48.867503,2.363811
Rue Saint-Maur,48.864335,2.379448
Saint-Lazare,48.87549,2.32664
Sentier,48.8676,2.3464
Temple,48.866488,2.360595
Wagram,48.884057,2.303668
Pelleport,48.868671,2.401752
Porte des Lilas,48.877183,2.406655
Saint-Fargeau,48.872083,2.40452
Alésia,48.828333,2.326667
Bagneux-Lucie Aubrac,48.8027,2.3173
Barbara,48.8092,2.3176
Château d'Eau,48.872778,2.356111
Château Rouge,48.886667,2.349444
Cité,48.855278,2.346389
Denfert-Rochereau,48.833901,2.332728
Étienne Marcel,48.864167,2.350556
Gare de l'Est,48.876111,2.358333
Gare du Nord,48.880556,2.355
Les Halles,48.8625,2.34611
Mairie de Montrouge,48.81843,2.31953
Marcadet-Poissonniers,48.890278,2.35
Montparnasse-Bienvenüe,48.843466,2.323072
Mouton-Duvernet,48.832139,2.330325
Odéon,48.851944,2.338889
Porte d'Orléans,48.823189,2.325364
Porte de Clignancourt,48.896944,2.345
Raspail,48.839194,2.330606
Saint-Germain-des-Prés,48.853889,2.333333
Saint-Michel,48.853611,2.343889
Saint-Placide,48.846844,2.326914
